symptom1,symptom2,symptom3,symptom4,OTC Medicine
Allergic rash,Dry skin,Heartburn,Hangover,Hydrocortisone cream
Common cold,Dizziness,Nausea,Muscle pain,Aspirin
Menstrual cramps,Sinus pressure,Insomnia,Nausea,Paracetamol
Menstrual cramps,Toothache,Diarrhea,Nausea,Ginger supplements
Heartburn,Sinus pressure,Diarrhea,Toothache,Loperamide
Heartburn,Headache,Sinus pressure,Cough,Nasal spray (Flonase)
Hay fever,Fever,Dry skin,Nausea,Antihistamine (Claritin)
Sinus pressure,Fever,Headache,Runny nose,Electrolyte solution (Pedialyte)
Acid reflux,Diarrhea,Nausea,Hay fever,Proton Pump Inhibitor (Omeprazole)
Hay fever,Headache,Common cold,Heartburn,Antihistamine (Claritin)
Fever,Dizziness,Runny nose,Acid reflux,Dimenhydrinate
Nausea,Insomnia,Dry skin,Cough,Loperamide
Acid reflux,Dry cough,Dizziness,Sinus pressure,Dextromethorphan
Headache,Fever,Dry cough,Nausea,Cold-EEZE
Allergic rash,Hay fever,Heartburn,Fever,Proton Pump Inhibitor (Omeprazole)
Cough,Dry cough,Insomnia,Allergic rash,Hydrocortisone cream
Nausea,Sinus pressure,Insomnia,Menstrual cramps,Lavender oil
Fever,Acid reflux,Common cold,Hangover,Antacid (Tums)
Acid reflux,Toothache,Heartburn,Common cold,Guaifenesin
Toothache,Fever,Acid reflux,Insomnia,Paracetamol
Heartburn,Dizziness,Fever,Common cold,Ginkgo biloba
Cough,Menstrual cramps,Sinus pressure,Acid reflux,Aspirin
Dry skin,Diarrhea,Headache,Hay fever,Probiotic
Dry cough,Insomnia,Acid reflux,Dry skin,Petroleum jelly
Menstrual cramps,Muscle pain,Hay fever,Nausea,Nasal spray (Flonase)
Heartburn,Headache,Dizziness,Toothache,Bismuth subsalicylate
Common cold,Sinus pressure,Heartburn,Hangover,Nasal spray (Flonase)
Heartburn,Fever,Dry cough,Headache,Paracetamol
Dizziness,Sinus pressure,Common cold,Cough,Dextromethorphan
Hangover,Cough,Dry skin,Insomnia,Hydrocortisone cream
Muscle pain,Common cold,Dizziness,Heartburn,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Insomnia,Headache,Hay fever,Valerian root
Dry cough,Diarrhea,Muscle pain,Hay fever,Honey
Toothache,Common cold,Dizziness,Acid reflux,Cold-EEZE
Hay fever,Heartburn,Dry skin,Hangover,Proton Pump Inhibitor (Omeprazole)
Muscle pain,Hangover,Toothache,Heartburn,Cold-EEZE
Dry skin,Toothache,Sinus pressure,Insomnia,Paracetamol
Insomnia,Allergic rash,Menstrual cramps,Toothache,Lavender oil
Cough,Menstrual cramps,Dry cough,Diarrhea,Electrolyte solution (Pedialyte)
Cough,Runny nose,Fever,Dry skin,Petroleum jelly
Heartburn,Common cold,Runny nose,Diarrhea,Ibuprofen
Diarrhea,Hangover,Allergic rash,Toothache,Calamine lotion
Nausea,Heartburn,Dry skin,Common cold,Ibuprofen
Common cold,Toothache,Menstrual cramps,Diarrhea,Guaifenesin
Dizziness,Headache,Acid reflux,Nausea,Ginger supplements
Allergic rash,Headache,Dry cough,Cough,Hydrocortisone cream
Muscle pain,Dry cough,Menstrual cramps,Nausea,Heating pad
Cough,Sinus pressure,Hangover,Toothache,Pseudoephedrine
Muscle pain,Acid reflux,Common cold,Hay fever,Antacid (Tums)
Acid reflux,Fever,Toothache,Sinus pressure,Bismuth subsalicylate
Diarrhea,Hay fever,Hangover,Cough,Bismuth subsalicylate
Allergic rash,Nausea,Diarrhea,Toothache,Dimenhydrinate
Insomnia,Menstrual cramps,Toothache,Diarrhea,Electrolyte solution (Pedialyte)
Hangover,Diarrhea,Cough,Dizziness,Electrolyte solution (Pedialyte)
Hangover,Nausea,Fever,Common cold,Paracetamol
Headache,Runny nose,Dizziness,Fever,Ginkgo biloba
Insomnia,Menstrual cramps,Dizziness,Dry skin,Aspirin
Acid reflux,Hay fever,Heartburn,Runny nose,Bismuth subsalicylate
Cough,Runny nose,Hay fever,Headache,Cold-EEZE
Acid reflux,Toothache,Dry skin,Hay fever,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Runny nose,Heartburn,Sinus pressure,Antacid (Tums)
Insomnia,Dry cough,Heartburn,Hay fever,Honey
Cough,Hay fever,Allergic rash,Insomnia,Calamine lotion
Headache,Nausea,Heartburn,Fever,Electrolyte solution (Pedialyte)
Muscle pain,Toothache,Insomnia,Headache,Orajel
Dry cough,Acid reflux,Allergic rash,Toothache,Guaifenesin
Sinus pressure,Hangover,Heartburn,Fever,Paracetamol
Heartburn,Dry skin,Acid reflux,Toothache,Petroleum jelly
Hangover,Heartburn,Dizziness,Menstrual cramps,Heating pad
Allergic rash,Heartburn,Sinus pressure,Dizziness,Ibuprofen
Acid reflux,Common cold,Nausea,Toothache,Loperamide
Acid reflux,Cough,Sinus pressure,Nausea,Proton Pump Inhibitor (Omeprazole)
Dizziness,Hangover,Common cold,Hay fever,Ginkgo biloba
Heartburn,Hangover,Dry cough,Dizziness,Ginger supplements
Nausea,Cough,Headache,Hay fever,Guaifenesin
Sinus pressure,Menstrual cramps,Heartburn,Hangover,Ibuprofen
Heartburn,Hangover,Runny nose,Insomnia,Antacid (Tums)
Acid reflux,Allergic rash,Muscle pain,Runny nose,Ibuprofen
Headache,Toothache,Common cold,Menstrual cramps,Orajel
Dry cough,Sinus pressure,Fever,Hangover,Honey
Headache,Common cold,Fever,Acid reflux,Guaifenesin
Insomnia,Toothache,Sinus pressure,Hay fever,Aspirin
Menstrual cramps,Heartburn,Dry cough,Common cold,Antacid (Rolaids)
Dizziness,Runny nose,Heartburn,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Headache,Hangover,Sinus pressure,Fever,Ibuprofen
Common cold,Muscle pain,Insomnia,Fever,Ibuprofen
Runny nose,Heartburn,Toothache,Headache,Antacid (Rolaids)
Sinus pressure,Runny nose,Common cold,Insomnia,Paracetamol
Sinus pressure,Cough,Common cold,Dry cough,Dextromethorphan
Nausea,Dry skin,Headache,Toothache,Dimenhydrinate
Cough,Allergic rash,Muscle pain,Sinus pressure,Paracetamol
Cough,Muscle pain,Dry cough,Acid reflux,Antacid (Tums)
Muscle pain,Acid reflux,Hay fever,Heartburn,Antacid (Rolaids)
Toothache,Dizziness,Dry skin,Menstrual cramps,Heating pad
Muscle pain,Dry skin,Common cold,Hay fever,Ibuprofen
Cough,Hangover,Fever,Dry cough,Guaifenesin
Headache,Menstrual cramps,Cough,Toothache,Aspirin
Insomnia,Sinus pressure,Fever,Muscle pain,Pseudoephedrine
Fever,Dry skin,Runny nose,Toothache,Petroleum jelly
Toothache,Muscle pain,Heartburn,Menstrual cramps,Ibuprofen
Cough,Muscle pain,Hangover,Dry skin,Cold-EEZE
Dry cough,Runny nose,Common cold,Fever,Honey
Dry cough,Headache,Nausea,Hangover,Loperamide
Allergic rash,Menstrual cramps,Heartburn,Diarrhea,Antihistamine (Claritin)
Dizziness,Diarrhea,Dry skin,Hangover,Ginkgo biloba
Dizziness,Dry skin,Headache,Acid reflux,Ginger supplements
Runny nose,Allergic rash,Headache,Dizziness,Loratadine
Nausea,Dizziness,Acid reflux,Headache,Antacid (Rolaids)
Diarrhea,Dry cough,Runny nose,Heartburn,Dextromethorphan
Acid reflux,Nausea,Dry skin,Sinus pressure,Nasal spray (Flonase)
Toothache,Headache,Dizziness,Hangover,Electrolyte solution (Pedialyte)
Dizziness,Muscle pain,Fever,Heartburn,Paracetamol
Dizziness,Muscle pain,Allergic rash,Headache,Ginkgo biloba
Dry skin,Sinus pressure,Hangover,Muscle pain,Ibuprofen
Cough,Runny nose,Dizziness,Sinus pressure,Ibuprofen
Toothache,Diarrhea,Nausea,Common cold,Cold-EEZE
Dry cough,Insomnia,Toothache,Sinus pressure,Guaifenesin
Heartburn,Acid reflux,Common cold,Headache,Aspirin
Headache,Insomnia,Toothache,Muscle pain,Aspirin
Acid reflux,Hangover,Diarrhea,Heartburn,Bismuth subsalicylate
Cough,Sinus pressure,Dizziness,Hangover,Aspirin
Dizziness,Nausea,Fever,Runny nose,Loperamide
Dry cough,Sinus pressure,Toothache,Dizziness,Ginkgo biloba
Hangover,Insomnia,Diarrhea,Heartburn,Antacid (Rolaids)
Hangover,Runny nose,Diarrhea,Dizziness,Cold-EEZE
Muscle pain,Heartburn,Sinus pressure,Nausea,Nasal spray (Flonase)
Heartburn,Diarrhea,Nausea,Allergic rash,Antacid (Tums)
Runny nose,Muscle pain,Dizziness,Hangover,Electrolyte solution (Pedialyte)
Muscle pain,Heartburn,Toothache,Menstrual cramps,Ibuprofen
Dry skin,Insomnia,Diarrhea,Dry cough,Melatonin
Nausea,Sinus pressure,Menstrual cramps,Hangover,Paracetamol
Dry cough,Menstrual cramps,Allergic rash,Cough,Ibuprofen
Allergic rash,Insomnia,Hay fever,Menstrual cramps,Valerian root
Fever,Menstrual cramps,Runny nose,Hangover,Electrolyte solution (Pedialyte)
Dry skin,Common cold,Allergic rash,Hangover,Ginger supplements
Dizziness,Menstrual cramps,Headache,Toothache,Ibuprofen
Insomnia,Diarrhea,Runny nose,Sinus pressure,Bismuth subsalicylate
Allergic rash,Heartburn,Sinus pressure,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Fever,Runny nose,Dry cough,Muscle pain,Paracetamol
Headache,Nausea,Dry cough,Menstrual cramps,Loperamide
Headache,Fever,Nausea,Dry cough,Honey
Headache,Hay fever,Sinus pressure,Allergic rash,Ibuprofen
Runny nose,Cough,Allergic rash,Diarrhea,Antihistamine (Claritin)
Allergic rash,Fever,Heartburn,Common cold,Antacid (Tums)
Nausea,Acid reflux,Cough,Diarrhea,Ginger supplements
Dry cough,Cough,Menstrual cramps,Acid reflux,Guaifenesin
Diarrhea,Fever,Common cold,Muscle pain,Electrolyte solution (Pedialyte)
Acid reflux,Heartburn,Nausea,Headache,Dimenhydrinate
Toothache,Insomnia,Headache,Sinus pressure,Orajel
Dizziness,Nausea,Runny nose,Muscle pain,Nasal spray (Flonase)
Insomnia,Dry cough,Dizziness,Heartburn,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Runny nose,Dry cough,Diarrhea,Guaifenesin
Headache,Nausea,Dizziness,Hay fever,Loperamide
Dizziness,Cough,Insomnia,Acid reflux,Melatonin
Allergic rash,Menstrual cramps,Nausea,Runny nose,Loperamide
Diarrhea,Menstrual cramps,Headache,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Heartburn,Insomnia,Dizziness,Nausea,Dimenhydrinate
Menstrual cramps,Heartburn,Toothache,Dry skin,Bismuth subsalicylate
Common cold,Dry skin,Hangover,Fever,Ginger supplements
Diarrhea,Sinus pressure,Insomnia,Heartburn,Ibuprofen
Hay fever,Hangover,Cough,Menstrual cramps,Ibuprofen
Hangover,Dizziness,Muscle pain,Allergic rash,Cold-EEZE
Hay fever,Sinus pressure,Diarrhea,Nausea,Loratadine
Dry skin,Runny nose,Cough,Diarrhea,Hydrocortisone cream
Cough,Muscle pain,Dry skin,Common cold,Dextromethorphan
Menstrual cramps,Cough,Nausea,Toothache,Pseudoephedrine
Toothache,Insomnia,Nausea,Muscle pain,Valerian root
Insomnia,Acid reflux,Headache,Sinus pressure,Pseudoephedrine
Toothache,Dizziness,Muscle pain,Diarrhea,Probiotic
Hay fever,Muscle pain,Diarrhea,Toothache,Loratadine
Fever,Acid reflux,Common cold,Heartburn,Antacid (Rolaids)
Heartburn,Sinus pressure,Dry cough,Dizziness,Honey
Nausea,Allergic rash,Acid reflux,Common cold,Bismuth subsalicylate
Dry cough,Hangover,Heartburn,Common cold,Guaifenesin
Cough,Menstrual cramps,Sinus pressure,Common cold,Nasal spray (Flonase)
Hay fever,Insomnia,Menstrual cramps,Muscle pain,Valerian root
Toothache,Hay fever,Hangover,Sinus pressure,Saline nasal spray
Cough,Acid reflux,Allergic rash,Menstrual cramps,Hydrocortisone cream
Toothache,Diarrhea,Fever,Allergic rash,Hydrocortisone cream
Toothache,Nausea,Menstrual cramps,Fever,Orajel
Fever,Dizziness,Acid reflux,Toothache,Dimenhydrinate
Allergic rash,Runny nose,Toothache,Cough,Ibuprofen
Heartburn,Muscle pain,Sinus pressure,Menstrual cramps,Nasal spray (Flonase)
Diarrhea,Common cold,Cough,Toothache,Paracetamol
Common cold,Allergic rash,Menstrual cramps,Insomnia,Aspirin
Dizziness,Headache,Dry cough,Common cold,Dimenhydrinate
Dizziness,Muscle pain,Cough,Dry skin,Dimenhydrinate
Dry cough,Sinus pressure,Common cold,Allergic rash,Calamine lotion
Sinus pressure,Common cold,Dizziness,Fever,Ginkgo biloba
Dry skin,Heartburn,Hangover,Hay fever,Nasal spray (Flonase)
Nausea,Fever,Dry cough,Allergic rash,Paracetamol
Hangover,Common cold,Nausea,Runny nose,Loratadine
Sinus pressure,Acid reflux,Runny nose,Allergic rash,Cold-EEZE
Muscle pain,Menstrual cramps,Common cold,Runny nose,Ibuprofen
Dry cough,Toothache,Diarrhea,Dizziness,Honey
Heartburn,Menstrual cramps,Headache,Dry skin,Antacid (Tums)
Common cold,Dizziness,Nausea,Allergic rash,Guaifenesin
Sinus pressure,Common cold,Runny nose,Diarrhea,Loratadine
Nausea,Cough,Runny nose,Headache,Pseudoephedrine
Common cold,Toothache,Hangover,Cough,Orajel
Menstrual cramps,Dry skin,Dry cough,Sinus pressure,Paracetamol
Heartburn,Menstrual cramps,Cough,Dry cough,Heating pad
Allergic rash,Sinus pressure,Hay fever,Insomnia,Antihistamine (Claritin)
Allergic rash,Heartburn,Common cold,Cough,Cold-EEZE
Insomnia,Nausea,Hay fever,Diarrhea,Antihistamine (Benadryl)
Dizziness,Menstrual cramps,Headache,Hangover,Paracetamol
Sinus pressure,Muscle pain,Acid reflux,Heartburn,Antacid (Tums)
Cough,Menstrual cramps,Insomnia,Headache,Valerian root
Hay fever,Dizziness,Dry skin,Common cold,Ginkgo biloba
Menstrual cramps,Cough,Muscle pain,Dry skin,Moisturizing lotion
Dry cough,Dry skin,Fever,Menstrual cramps,Dextromethorphan
Diarrhea,Toothache,Cough,Dry skin,Bismuth subsalicylate
Menstrual cramps,Dry cough,Allergic rash,Sinus pressure,Nasal spray (Flonase)
Acid reflux,Hangover,Nausea,Menstrual cramps,Loperamide
Dizziness,Common cold,Dry skin,Toothache,Petroleum jelly
Toothache,Cough,Insomnia,Diarrhea,Diphenhydramine
Acid reflux,Diarrhea,Sinus pressure,Common cold,Cold-EEZE
Cough,Fever,Menstrual cramps,Heartburn,Bismuth subsalicylate
Diarrhea,Common cold,Hangover,Muscle pain,Cold-EEZE
Cough,Dry cough,Diarrhea,Dizziness,Honey
Muscle pain,Nausea,Cough,Menstrual cramps,Aspirin
Menstrual cramps,Hangover,Dry skin,Cough,Cold-EEZE
Runny nose,Common cold,Diarrhea,Toothache,Cold-EEZE
Diarrhea,Heartburn,Toothache,Hay fever,Paracetamol
Common cold,Dry cough,Hangover,Dry skin,Dextromethorphan
Diarrhea,Dizziness,Heartburn,Muscle pain,Probiotic
Toothache,Muscle pain,Dry cough,Hangover,Guaifenesin
Runny nose,Fever,Nausea,Acid reflux,Ginger supplements
Sinus pressure,Dizziness,Hangover,Menstrual cramps,Dimenhydrinate
Nausea,Sinus pressure,Dry cough,Runny nose,Dextromethorphan
Acid reflux,Dry skin,Hangover,Fever,Moisturizing lotion
Cough,Common cold,Runny nose,Hangover,Loratadine
Headache,Dizziness,Hay fever,Cough,Ginger supplements
Dry skin,Diarrhea,Toothache,Dry cough,Petroleum jelly
Muscle pain,Menstrual cramps,Heartburn,Diarrhea,Heating pad
Nausea,Runny nose,Dizziness,Dry skin,Loratadine
Cough,Dizziness,Hay fever,Headache,Pseudoephedrine
Allergic rash,Fever,Dry skin,Insomnia,Aloe vera gel
Sinus pressure,Runny nose,Insomnia,Menstrual cramps,Saline nasal spray
Common cold,Insomnia,Acid reflux,Menstrual cramps,Heating pad
Acid reflux,Allergic rash,Cough,Fever,Ibuprofen
Nausea,Common cold,Heartburn,Insomnia,Dimenhydrinate
Dizziness,Sinus pressure,Hangover,Headache,Ginger supplements
Dry skin,Menstrual cramps,Runny nose,Fever,Heating pad
Dry cough,Diarrhea,Hay fever,Insomnia,Melatonin
Runny nose,Heartburn,Diarrhea,Hangover,Aspirin
Headache,Allergic rash,Toothache,Diarrhea,Paracetamol
Dizziness,Runny nose,Allergic rash,Hay fever,Ginkgo biloba
Muscle pain,Runny nose,Menstrual cramps,Dry cough,Honey
Acid reflux,Diarrhea,Heartburn,Toothache,Bismuth subsalicylate
Hangover,Headache,Muscle pain,Allergic rash,Antihistamine (Claritin)
Heartburn,Menstrual cramps,Allergic rash,Acid reflux,Aspirin
Insomnia,Common cold,Acid reflux,Dizziness,Proton Pump Inhibitor (Omeprazole)
Dizziness,Nausea,Common cold,Fever,Ibuprofen
Headache,Sinus pressure,Hay fever,Menstrual cramps,Loratadine
Acid reflux,Nausea,Heartburn,Dry skin,Electrolyte solution (Pedialyte)
Allergic rash,Hay fever,Common cold,Toothache,Ibuprofen
Headache,Dry cough,Hangover,Cough,Paracetamol
Insomnia,Acid reflux,Fever,Hay fever,Melatonin
Headache,Muscle pain,Menstrual cramps,Sinus pressure,Aspirin
Hangover,Menstrual cramps,Muscle pain,Diarrhea,Paracetamol
Headache,Sinus pressure,Nausea,Runny nose,Ibuprofen
Menstrual cramps,Fever,Sinus pressure,Runny nose,Nasal spray (Flonase)
Acid reflux,Fever,Headache,Toothache,Antacid (Tums)
Dry cough,Cough,Muscle pain,Runny nose,Guaifenesin
Cough,Dry skin,Insomnia,Nausea,Pseudoephedrine
Menstrual cramps,Dizziness,Muscle pain,Hangover,Cold-EEZE
Dizziness,Headache,Insomnia,Allergic rash,Electrolyte solution (Pedialyte)
Fever,Dizziness,Menstrual cramps,Sinus pressure,Ginkgo biloba
Nausea,Runny nose,Common cold,Acid reflux,Nasal spray (Flonase)
Runny nose,Cough,Heartburn,Headache,Bismuth subsalicylate
Toothache,Cough,Insomnia,Dry skin,Petroleum jelly
Hangover,Runny nose,Insomnia,Hay fever,Paracetamol
Sinus pressure,Muscle pain,Runny nose,Heartburn,Paracetamol
Hangover,Common cold,Muscle pain,Hay fever,Cold-EEZE
Dizziness,Fever,Acid reflux,Headache,Aspirin
Common cold,Menstrual cramps,Diarrhea,Allergic rash,Aspirin
Hangover,Dizziness,Fever,Menstrual cramps,Ginkgo biloba
Toothache,Allergic rash,Common cold,Muscle pain,Antihistamine (Claritin)
Headache,Insomnia,Menstrual cramps,Nausea,Diphenhydramine
Headache,Dry skin,Cough,Sinus pressure,Paracetamol
Hangover,Nausea,Hay fever,Sinus pressure,Electrolyte solution (Pedialyte)
Sinus pressure,Headache,Hay fever,Diarrhea,Ibuprofen
Allergic rash,Dizziness,Fever,Toothache,Cold-EEZE
Cough,Sinus pressure,Headache,Acid reflux,Antacid (Rolaids)
Acid reflux,Common cold,Sinus pressure,Dry cough,Guaifenesin
Insomnia,Heartburn,Hangover,Fever,Antacid (Tums)
Dizziness,Heartburn,Headache,Hay fever,Bismuth subsalicylate
Insomnia,Sinus pressure,Dry cough,Nausea,Ibuprofen
Hay fever,Muscle pain,Diarrhea,Dry cough,Guaifenesin
Dizziness,Toothache,Dry skin,Acid reflux,Aspirin
Cough,Fever,Allergic rash,Toothache,Pseudoephedrine
Muscle pain,Acid reflux,Hay fever,Headache,Antacid (Rolaids)
Common cold,Sinus pressure,Muscle pain,Headache,Paracetamol
Insomnia,Fever,Acid reflux,Sinus pressure,Cold-EEZE
Toothache,Allergic rash,Heartburn,Cough,Cold-EEZE
Dry skin,Acid reflux,Runny nose,Heartburn,Loratadine
Allergic rash,Heartburn,Acid reflux,Headache,Bismuth subsalicylate
Dry cough,Nausea,Hay fever,Hangover,Aspirin
Hay fever,Nausea,Cough,Dry cough,Dextromethorphan
Hangover,Common cold,Runny nose,Acid reflux,Bismuth subsalicylate
Muscle pain,Cough,Dry skin,Hangover,Hydrocortisone cream
Allergic rash,Headache,Menstrual cramps,Common cold,Cold-EEZE
Sinus pressure,Menstrual cramps,Dizziness,Nausea,Aspirin
Heartburn,Allergic rash,Dry skin,Headache,Antacid (Rolaids)
Runny nose,Nausea,Toothache,Allergic rash,Ginger supplements
Dizziness,Diarrhea,Sinus pressure,Insomnia,Lavender oil
Fever,Runny nose,Headache,Cough,Cold-EEZE
Menstrual cramps,Acid reflux,Sinus pressure,Fever,Antacid (Tums)
Common cold,Toothache,Heartburn,Runny nose,Aspirin
Diarrhea,Toothache,Menstrual cramps,Hangover,Paracetamol
Runny nose,Menstrual cramps,Diarrhea,Heartburn,Loratadine
Cough,Dry cough,Sinus pressure,Headache,Paracetamol
Common cold,Allergic rash,Dizziness,Dry skin,Aloe vera gel
Hay fever,Dry skin,Headache,Dizziness,Nasal spray (Flonase)
Acid reflux,Heartburn,Dry cough,Headache,Paracetamol
Muscle pain,Hay fever,Runny nose,Sinus pressure,Cold-EEZE
Headache,Allergic rash,Sinus pressure,Menstrual cramps,Hydrocortisone cream
Heartburn,Common cold,Hay fever,Insomnia,Valerian root
Dry skin,Dry cough,Fever,Insomnia,Guaifenesin
Dizziness,Insomnia,Nausea,Headache,Dimenhydrinate
Heartburn,Toothache,Allergic rash,Hay fever,Aspirin
Headache,Menstrual cramps,Allergic rash,Heartburn,Aspirin
Muscle pain,Common cold,Acid reflux,Sinus pressure,Antacid (Rolaids)
Common cold,Allergic rash,Diarrhea,Hangover,Ginger supplements
Menstrual cramps,Dry skin,Runny nose,Hay fever,Ibuprofen
Diarrhea,Fever,Toothache,Hay fever,Orajel
Diarrhea,Muscle pain,Allergic rash,Nausea,Dimenhydrinate
Runny nose,Allergic rash,Sinus pressure,Hay fever,Calamine lotion
Headache,Diarrhea,Menstrual cramps,Toothache,Aspirin
Fever,Heartburn,Muscle pain,Sinus pressure,Pseudoephedrine
Hangover,Toothache,Sinus pressure,Allergic rash,Ginger supplements
Allergic rash,Common cold,Heartburn,Sinus pressure,Bismuth subsalicylate
Hangover,Acid reflux,Allergic rash,Fever,Antihistamine (Claritin)
Runny nose,Insomnia,Nausea,Sinus pressure,Melatonin
Dry skin,Dizziness,Common cold,Sinus pressure,Dimenhydrinate
Menstrual cramps,Insomnia,Nausea,Allergic rash,Melatonin
Common cold,Headache,Allergic rash,Toothache,Antihistamine (Benadryl)
Dizziness,Common cold,Acid reflux,Sinus pressure,Electrolyte solution (Pedialyte)
Headache,Dry skin,Menstrual cramps,Diarrhea,Paracetamol
Nausea,Dizziness,Muscle pain,Insomnia,Lavender oil
Muscle pain,Cough,Hay fever,Runny nose,Nasal spray (Flonase)
Insomnia,Allergic rash,Fever,Hay fever,Cold-EEZE
Allergic rash,Hangover,Nausea,Sinus pressure,Electrolyte solution (Pedialyte)
Nausea,Allergic rash,Muscle pain,Common cold,Loperamide
Hay fever,Fever,Common cold,Dizziness,Loratadine
Acid reflux,Allergic rash,Headache,Common cold,Antacid (Rolaids)
Diarrhea,Insomnia,Hay fever,Nausea,Electrolyte solution (Pedialyte)
Headache,Cough,Diarrhea,Acid reflux,Antacid (Rolaids)
Headache,Muscle pain,Fever,Dry cough,Electrolyte solution (Pedialyte)
Dizziness,Common cold,Toothache,Dry cough,Ginger supplements
Common cold,Muscle pain,Fever,Dry cough,Paracetamol
Dizziness,Hay fever,Sinus pressure,Acid reflux,Antacid (Tums)
Hangover,Acid reflux,Dry skin,Heartburn,Moisturizing lotion
Dizziness,Dry skin,Toothache,Nausea,Electrolyte solution (Pedialyte)
Toothache,Diarrhea,Heartburn,Cough,Ibuprofen
Headache,Dry cough,Cough,Nausea,Cold-EEZE
Runny nose,Diarrhea,Allergic rash,Hangover,Bismuth subsalicylate
Cough,Diarrhea,Fever,Hangover,Bismuth subsalicylate
Dizziness,Cough,Nausea,Dry cough,Dextromethorphan
Common cold,Hay fever,Diarrhea,Dry skin,Aloe vera gel
Acid reflux,Hay fever,Nausea,Common cold,Antacid (Tums)
Toothache,Sinus pressure,Hay fever,Cough,Guaifenesin
Heartburn,Cough,Headache,Allergic rash,Calamine lotion
Runny nose,Cough,Hay fever,Muscle pain,Guaifenesin
Sinus pressure,Menstrual cramps,Common cold,Dizziness,Heating pad
Sinus pressure,Allergic rash,Dizziness,Heartburn,Antihistamine (Benadryl)
Headache,Muscle pain,Allergic rash,Cough,Hydrocortisone cream
Insomnia,Runny nose,Menstrual cramps,Hangover,Melatonin
Toothache,Fever,Headache,Menstrual cramps,Orajel
Allergic rash,Sinus pressure,Cough,Menstrual cramps,Cold-EEZE
Dry cough,Common cold,Nausea,Menstrual cramps,Paracetamol
Runny nose,Dizziness,Heartburn,Cough,Bismuth subsalicylate
Hangover,Hay fever,Headache,Heartburn,Nasal spray (Flonase)
Common cold,Diarrhea,Dizziness,Insomnia,Ginger supplements
Cough,Dry skin,Fever,Diarrhea,Moisturizing lotion
Insomnia,Muscle pain,Heartburn,Acid reflux,Cold-EEZE
Toothache,Acid reflux,Heartburn,Fever,Aspirin
Dry skin,Menstrual cramps,Diarrhea,Common cold,Ibuprofen
Muscle pain,Cough,Allergic rash,Common cold,Cold-EEZE
Insomnia,Headache,Hay fever,Acid reflux,Lavender oil
Nausea,Allergic rash,Dry skin,Runny nose,Electrolyte solution (Pedialyte)
Runny nose,Cough,Dry cough,Allergic rash,Honey
Cough,Muscle pain,Fever,Headache,Electrolyte solution (Pedialyte)
Muscle pain,Sinus pressure,Allergic rash,Toothache,Saline nasal spray
Muscle pain,Dry cough,Insomnia,Dry skin,Lavender oil
Hay fever,Sinus pressure,Toothache,Muscle pain,Antihistamine (Claritin)
Hay fever,Insomnia,Headache,Sinus pressure,Diphenhydramine
Muscle pain,Diarrhea,Common cold,Acid reflux,Electrolyte solution (Pedialyte)
Dry skin,Cough,Diarrhea,Runny nose,Aloe vera gel
Common cold,Dizziness,Diarrhea,Hay fever,Loratadine
Hay fever,Acid reflux,Cough,Dry skin,Antihistamine (Claritin)
Insomnia,Menstrual cramps,Diarrhea,Dizziness,Loperamide
Cough,Menstrual cramps,Nausea,Common cold,Aspirin
Common cold,Muscle pain,Hay fever,Insomnia,Antihistamine (Claritin)
Dizziness,Insomnia,Cough,Hangover,Melatonin
Fever,Common cold,Hay fever,Hangover,Cold-EEZE
Runny nose,Acid reflux,Fever,Common cold,Ibuprofen
Dizziness,Fever,Nausea,Headache,Loperamide
Headache,Sinus pressure,Fever,Heartburn,Paracetamol
Allergic rash,Dizziness,Nausea,Dry skin,Loperamide
Common cold,Cough,Allergic rash,Muscle pain,Aspirin
Headache,Muscle pain,Insomnia,Diarrhea,Bismuth subsalicylate
Heartburn,Muscle pain,Diarrhea,Hay fever,Cold-EEZE
Menstrual cramps,Heartburn,Nausea,Allergic rash,Heating pad
Dry skin,Dizziness,Hay fever,Allergic rash,Loratadine
Runny nose,Menstrual cramps,Hay fever,Hangover,Loratadine
Hangover,Allergic rash,Cough,Heartburn,Antihistamine (Benadryl)
Cough,Menstrual cramps,Nausea,Acid reflux,Electrolyte solution (Pedialyte)
Toothache,Dry skin,Heartburn,Fever,Hydrocortisone cream
Dry skin,Diarrhea,Menstrual cramps,Runny nose,Moisturizing lotion
Muscle pain,Hangover,Menstrual cramps,Heartburn,Bismuth subsalicylate
Fever,Runny nose,Acid reflux,Dry cough,Ibuprofen
Acid reflux,Toothache,Cough,Heartburn,Aspirin
Dry skin,Dizziness,Common cold,Menstrual cramps,Moisturizing lotion
Hangover,Dizziness,Cough,Common cold,Ginger supplements
Dry cough,Acid reflux,Dry skin,Insomnia,Bismuth subsalicylate
Cough,Sinus pressure,Toothache,Hay fever,Cold-EEZE
Headache,Heartburn,Cough,Hangover,Aspirin
Nausea,Toothache,Headache,Hay fever,Cold-EEZE
Muscle pain,Dry skin,Toothache,Dizziness,Orajel
